Nawisko aktualne,Liczba
RATAJCZAK,11513
OLEJNICZAK,11503
KASPRZAK,11499
MICHALIK,11467
PAJĄK,11342
ŚWIĄTEK,11248
OWCZAREK,11221
ORZECHOWSKA,11220
KUROWSKA,11161
SOBOLEWSKA,11151
GRZELAK,11019
MAZURKIEWICZ,11017
BUKOWSKA,10965
OLEJNIK,10958
BARAŃSKA,10908
KĘDZIERSKA,10900
ROGOWSKA,10899
ŁUKASIK,10872
MATUSIAK,10842
KOSIŃSKA,10759
SKOWROŃSKA,10623
MARCINKOWSKA,10563
RYBAK,10560
BEDNARSKA,10508
JANISZEWSKA,10481
SOBCZYK,10452
CHRZANOWSKA,10429
SROKA,10364
MARSZAŁEK,10348
LISOWSKA,10322
ŚWIDERSKA,10273
MORAWSKA,10261
KOZIEŁ,10241
CZAJKA,10236
ZYCH,10236
MUSZYŃSKA,10155
KUCZYŃSKA,10133
KASPRZYK,10102
CZECH,10097
GRZYBOWSKA,10056
BEDNARZ,10048
OSIŃSKA,9944
MARCZAK,9907
PLUTA,9898
JĘDRZEJEWSKA,9897
MAŁEK,9896
KWIECIEŃ,9872
BIAŁEK,9870
CHMIEL,9868
CZAJA,9828
WITEK,9772
MICHAŁOWSKA,9759
KRZEMIŃSKA,9755
TUREK,9751
DĘBSKA,9750
PALUCH,9748
KUBICKA,9730
ŻUKOWSKA,9725
CIEŚLIK,9690
MARZEC,9656
PIEKARSKA,9653
JANOWSKA,9594
BIERNACKA,9509
KACZOR,9469
STEFANIAK,9421
SZYDŁOWSKA,9397
STANISZEWSKA,9375
LEWICKA,9346
PRZYBYSZ,9340
RUDNICKA,9320
LECH,9286
GOŁĘBIEWSKA,9283
POPŁAWSKA,9275
ŚLIWA,9251
AUGUSTYNIAK,9237
NIEMIEC,9227
SMOLIŃSKA,9210
PODGÓRSKA,9200
MURAWSKA,9197
KACPRZAK,9183
KULESZA,9151
CZYŻ,9140
KUJAWA,9126
PIĄTKOWSKA,9098
PIETRZYK,9058
STACHOWIAK,9053
SERAFIN,9030
SOWIŃSKA,9015
GOŁĘBIOWSKA,9010
ŻUREK,8996
GÓRA,8994
MATYSIAK,8874
KARCZEWSKA,8823
ROSIŃSKA,8805
BANACH,8802
KLIMCZAK,8777
BANAŚ,8716
CYBULSKA,8710
RAK,8710
KOMOROWSKA,8700
GODLEWSKA,8673
BIENIEK,8638
ŻURAWSKA,8625
ZAWADA,8569
DROZD,8530
GRUSZKA,8528
SKRZYPCZAK,8523
CICHOCKA,8494
GROCHOWSKA,8487
PRZYBYŁA,8486
SZCZĘSNA,8482
RÓŻAŃSKA,8380
KUŚ,8351
CICHOŃ,8345
GÓRKA,8295
NIEWIADOMSKA,8286
WINIARSKA,8258
KULIK,8241
PANEK,8208
KRAWIEC,8186
KRZYŻANOWSKA,8174
MIELCZAREK,8159
PTAK,8126
SIWEK,8103
KONOPKA,8087
LEŚNIEWSKA,8078
FILIPIAK,8046
STRZELECKA,8025
MIKOŁAJCZAK,8003
ZAREMBA,7994
GRACZYK,7982
ZARZYCKA,7982
SŁOWIK,7968
GIL,7960
TOKARSKA,7953
SZCZEPANIK,7916
ANTCZAK,7900
MAĆKOWIAK,7878
SZYMCZYK,7833
STAŃCZYK,7801
BARTKOWIAK,7794
KŁOS,7775
KACZYŃSKA,7752
BUCZEK,7736
GÓRNA,7721
MŁYNARCZYK,7705
CIEŚLA,7700
GRZYB,7676
JANIAK,7655
BIERNAT,7635
SKOWRON,7631
SZCZYGIEŁ,7577
JANUS,7574
BANASIAK,7568
KOSTRZEWA,7554
SZOSTAK,7553
BOGUSZ,7527
RAKOWSKA,7525
GĄSIOR,7509
BARTCZAK,7502
JUREK,7492
SIENKIEWICZ,7484
DŁUGOSZ,7477
KALETA,7471
KRÓLIKOWSKA,7463
WĘGRZYN,7444
KUCHARCZYK,7437
RÓŻYCKA,7416
KSIĄŻEK,7415
GAWRON,7410
KUBIK,7404
FRĄCZEK,7356
GAWLIK,7305
BAGIŃSKA,7273
DOBOSZ,7256
KULA,7249
ŻEBROWSKA,7234
PAŁKA,7220
ROGALSKA,7217
WITCZAK,7182
TRZCIŃSKA,7164
HAJDUK,7143
TROJANOWSKA,7128
FRANKOWSKA,7114
MALISZEWSKA,7114
ZARĘBA,7114
GAWROŃSKA,7105
GRZEGORCZYK,7074
MALEC,7064
RZEPKA,7038
RYBICKA,7036
ROGALA,7035
MIKULSKA,7027
ROJEK,7021
DUDZIŃSKA,7007
TKACZYK,6994
RADOMSKA,6980
KACZOROWSKA,6941
KISIEL,6842
FIJAŁKOWSKA,6839
FRĄCKOWIAK,6825
NAWROT,6782
BOGUCKA,6781
MIKA,6763
WIĘCKOWSKA,6757
GRZESIAK,6730
LACH,6709
CZYŻEWSKA,6700
GAŁĄZKA,6696
BOREK,6694
KWAŚNIEWSKA,6668
WĄSIK,6667
WOJTCZAK,6653
ZABOROWSKA,6644
BIAŁAS,6631
STEC,6611
ROSIAK,6586
WÓJCICKA,6550
ŚLUSARCZYK,6549
SOKÓŁ,6535
LIPSKA,6528
BURZYŃSKA,6526
KMIECIK,6503
PIETRAS,6483
KOŁODZIEJSKA,6463
BOCHENEK,6461
WNUK,6459
JUSZCZAK,6450
DĄBEK,6447
ŁUKASIEWICZ,6426
PAWELEC,6404
KARWOWSKA,6397
ZAJĄCZKOWSKA,6394
KUBACKA,6393
LASOTA,6389
SZAFRAŃSKA,6387
WALKOWIAK,6378
DRZEWIECKA,6371
JANAS,6360
SKRZYPEK,6337
GRUSZCZYŃSKA,6329
WROŃSKA,6319
MROCZEK,6299
KRYSIAK,6285
JĘDRZEJCZAK,6284
MASŁOWSKA,6260
FLIS,6257
JAGODZIŃSKA,6252
DĘBOWSKA,6246
ZYGMUNT,6230
JĘDRZEJCZYK,6224
CEBULA,6216
BIELAWSKA,6207
LISIECKA,6198
CYGAN,6189
PIWOWARCZYK,6179
ŁAPIŃSKA,6172
BOROWIEC,6171
PASTERNAK,6171
KAŁUŻA,6163
SKIBIŃSKA,6140
JAGIEŁŁO,6135
FILIPEK,6134
PIÓRKOWSKA,6129
KARAŚ,6127
MISIAK,6124
ŻMUDA,6121
JURKIEWICZ,6120
KRAKOWIAK,6120
WILCZEK,6103
CZAPLA,6090
FALKOWSKA,6090
KUBICA,6079
TWARDOWSKA,6056
SOBIERAJ,6046
URBAŃCZYK,6035
BUJAK,6031
PILARSKA,6017
GAWEŁ,5995
STELMACH,5976
NOWACZYK,5975
RACZYŃSKA,5973
ZIELONKA,5967
CISZEWSKA,5960
DROZDOWSKA,5960
GUTOWSKA,5955
STRZELCZYK,5952
ŁUKASZEWSKA,5950
BARTOSIK,5900
WASIAK,5890
TARNOWSKA,5873
ANDRZEJCZAK,5869
SOŁTYS,5869
SZCZEŚNIAK,5868
BILSKA,5844
JAKUBIAK,5843
SKOCZYLAS,5832
PAKUŁA,5818
GĄSIOROWSKA,5786
GÓRNIAK,5766
DUBIEL,5759
MIERZEJEWSKA,5756
KĘDZIORA,5753
DZIUBA,5749
SZWED,5706
BOBER,5703
GUZIK,5703
KOPCZYŃSKA,5693
MILCZAREK,5681
STANEK,5678
MAJCHER,5677
STASZEWSKA,5667
KRUPIŃSKA,5660
CHOLEWA,5596
STOLARCZYK,5594
KACZMARSKA,5574
JAŚKIEWICZ,5567
KAŁUŻNA,5565
SŁOWIŃSKA,5563
MATUSZAK,5544
WIĘCEK,5539
JEZIERSKA,5537
ZWOLIŃSKA,5537
SŁAWIŃSKA,5524
GÓRAL,5514
SIEDLECKA,5511
GOŁĄB,5502
RUSIN,5502
FLOREK,5496
JACKOWSKA,5479
ZAGÓRSKA,5475
RUCIŃSKA,5474
MISZTAL,5473
OLCZAK,5473
KASZUBA,5464
MOTYKA,5429
DOMINIAK,5427
GRZYWACZ,5419
PAWLIKOWSKA,5418
FLORCZAK,5403
MODZELEWSKA,5389
PACZKOWSKA,5389
WOLAK,5388
MALICKA,5379
SIERADZKA,5369
KUCHTA,5365
PYTEL,5361
SOCHACKA,5357
BOŻEK,5354
ŚWIERCZYŃSKA,5352
IWAŃSKA,5344
KULIG,5322
JANKOWIAK,5312
KUC,5311
MICHAŁEK,5311
BIEŃKOWSKA,5295
DUDZIAK,5293
CZECHOWSKA,5283
STĘPNIAK,5283
KOZA,5281
WOJTAS,5278
PARTYKA,5272
KNAPIK,5267
JANUSZ,5266
PROKOP,5258
ADAMUS,5254
GWÓŹDŹ,5254
GAŁKA,5252
NOGA,5247
SITEK,5246
STACHURA,5242
KĘPA,5241
FILIPOWICZ,5239
KWIECIŃSKA,5228
SKÓRA,5219
DUDZIK,5215
JURKOWSKA,5214
SKALSKA,5213
DEC,5205
SZYSZKA,5190
PŁONKA,5186
BIELAK,5181
DOBRZYŃSKA,5178
ADAMCZAK,5171
ADAMEK,5162
KOLASA,5151
MAŃKOWSKA,5144
PASZKOWSKA,5144
KAPUSTA,5141
BRODA,5139
STANISŁAWSKA,5135
ROSA,5130
WŁODARSKA,5117
MROCZKOWSKA,5115
SZATKOWSKA,5090
SUSKA,5084
KRUSZEWSKA,5076
SZCZERBA,5076
KOWALCZUK,5069
MAJKA,5066
CHOJNOWSKA,5064
TOMALA,5062
WOŚ,5026
NIEMCZYK,5025
MOLENDA,5019
PUCHALSKA,5016
LIPKA,5014
MICHALCZYK,5001
TRZECIAK,4991
SKOWRONEK,4987
AUGUSTYN,4976
WYSZYŃSKA,4967
KOTOWSKA,4955
JANUSZEWSKA,4949
ADAMOWICZ,4945
GŁOGOWSKA,4944
CHMURA,4939
LENART,4939
BUCZYŃSKA,4938
NIEDZIELSKA,4925
ZDUNEK,4911
PIECHOTA,4894
SALAMON,4893
ŻUK,4887
KITA,4884
ADAMIAK,4868
ZIĘTEK,4862
KANIEWSKA,4860
MROZEK,4857
MAŚLANKA,4856
KOBUS,4855
DRABIK,4851
STOLARSKA,4836
BANASIK,4817
KOPER,4817
WYPYCH,4810
WARCHOŁ,4808
BĄKOWSKA,4799
BUDZYŃSKA,4794
PRZYBYŁ,4788
KOŁAKOWSKA,4785
JAGIELSKA,4780
KOGUT,4766
DRÓŻDŻ,4765
SOŁTYSIAK,4762
NIEDŹWIECKA,4754
PILCH,4751
KAWA,4740
GORCZYCA,4739
TOKARZ,4736
BUCZKOWSKA,4731
MALIK,4722
GRZESIK,4717
ROBAK,4717
RUDZIŃSKA,4705
MIŚKIEWICZ,4702
PORĘBSKA,4688
CHUDZIK,4685
KIEŁBASA,4683
MARCHEWKA,4682
KŁOSOWSKA,4679
STAŃCZAK,4671
KALISZ,4670
SOJKA,4668
JARZĄBEK,4664
BIAŁKOWSKA,4661
MACIĄG,4661
KASPEREK,4659
URBANEK,4658
DĄBKOWSKA,4647
CZERNIAK,4632
JURCZAK,4629
PIŁAT,4624
CZEKAJ,4620
BALCERZAK,4619
GADOMSKA,4619
BARTNIK,4615
CICHA,4613
GŁĄB,4607
FRĄTCZAK,4600
JAROS,4599
STACHURSKA,4598
WIĄCEK,4588
GOLEC,4587
KORZENIOWSKA,4587
URBANOWICZ,4585
TRACZ,4579
KUŹMA,4575
KUCIŃSKA,4567
OLCZYK,4566
WOLIŃSKA,4565
BŁASZCZAK,4557
SURMA,4545
PIETRUSZKA,4544
OSSOWSKA,4537
PAWLICKA,4525
SZELĄG,4515
ZABŁOCKA,4503
ŻYŁA,4502
MOSKAL,4501
STACHOWICZ,4500
ALEKSANDROWICZ,4494
RUDZKA,4494
RYBARCZYK,4490
KOPACZ,4485
KOS,4474
PIOTROWICZ,4473
BIELSKA,4470
BUDZIŃSKA,4464
RYŚ,4463
GRUDZIEŃ,4456
SZYMKOWIAK,4445
PRUS,4441
KOSOWSKA,4440
RADECKA,4439
KOSTECKA,4434
ŚLĘZAK,4434
MILLER,4433
WOJTKOWIAK,4433
MAGIERA,4429
MACKIEWICZ,4422
LESIAK,4419
GRZEŚKOWIAK,4393
WOŹNICA,4392
RUDNIK,4390
WARZECHA,4390
KULIŃSKA,4381
BIELIŃSKA,4378
KAWECKA,4370
SOBAŃSKA,4370
KUJAWSKA,4368
JURCZYK,4365
HERMAN,4357
NAPIERAŁA,4352
SĘK,4349
TRELA,4347
KOZIK,4339
WOJTASIK,4339
FURMAN,4332
SOBOTA,4332
PELC,4331
TOMASIK,4319
SEKUŁA,4315
KRAKOWSKA,4308
KMIEĆ,4305
SZUBA,4300
STAWICKA,4295
GRUDZIŃSKA,4285
KRASOWSKA,4281
OLEKSY,4277
POGORZELSKA,4271
WOŁOSZYN,4271
PEŁKA,4270
WOLNA,4259
SKORUPA,4257
ROMAN,4247
ŚMIGIELSKA,4240
GUT,4238
ŚWIĄTKOWSKA,4226
MIERZWA,4224
PIWOWARSKA,4216
SZWARC,4211
BISKUP,4210
BANASZEK,4201
IZDEBSKA,4199
HOFFMANN,4194
KRUCZEK,4188
RATAJCZYK,4182
LITWIN,4181
ŁUKASZEWICZ,4164
KAWKA,4150
JUSZCZYK,4138
KRUKOWSKA,4134
ROSZAK,4119
NIEDZIELA,4117
WERNER,4115
STUDZIŃSKA,4102
MAKUCH,4101
LORENC,4094
PIĘTKA,4089
ŚWIDER,4089
MAŃKA,4085
ROSZKOWSKA,4075
WIŚNIOWSKA,4071
DUSZYŃSKA,4066
SZAREK,4060
KRÓLAK,4054
SIWIEC,4051
POLAŃSKA,4048
JÓŹWIK,4042
LISZKA,4033
KARCZ,4032
SCHMIDT,4032
JEZIORSKA,4029
SZOT,4029
WRZESIŃSKA,4026
KWIATEK,4024
PAPROCKA,4022
ROŻEK,3998
JAKUBCZYK,3987
BOGACZ,3986
BURY,3986
BOBROWSKA,3985
ŻUCHOWSKA,3983
ADAMIEC,3974
KNAP,3970
NOWIŃSKA,3969
KRASZEWSKA,3968
KORZENIEWSKA,3957
SIDOR,3957
TUROWSKA,3950
DROŻDŻ,3946
FILIP,3945
RUSEK,3945
KORCZAK,3944
KOSMALA,3943
GRABARCZYK,3937
WOŹNA,3924
GACEK,3920
WOJDA,3914
GRODZKA,3909
MIELCAREK,3908
TKACZ,3903
KRUSZYŃSKA,3900
WACH,3897
BOGDAŃSKA,3892
LANGE,3891
KUSIAK,3876
PASZKIEWICZ,3876
RZEPECKA,3873
GRZYBEK,3871
KUKLA,3869
BORYS,3853
LEWIŃSKA,3852
GOLA,3849
KĘDZIOR,3842
MAŁKOWSKA,3838
ROGOZIŃSKA,3838
ŚPIEWAK,3836
WAGNER,3834
JAKUBIEC,3831
SZOPA,3827
RYBKA,3823
SZELIGA,3823
TOKARCZYK,3822
ŚLEDŹ,3819
KOZAKIEWICZ,3813
ROMANIUK,3802
SZKUDLAREK,3801
JANCZAK,3800
LIPIEC,3799
OLECH,3798
WOJTOWICZ,3784
SZYMANEK,3781
PERKOWSKA,3780
GĄSIOREK,3778
ROMAŃSKA,3776
DUTKIEWICZ,3772
KAPUŚCIŃSKA,3771
SKONIECZNA,3771
GŁADYSZ,3769
BILIŃSKA,3768
WASIELEWSKA,3767
STASZAK,3761
KURZAWA,3759
AMBROZIAK,3758
DYMEK,3757
BARTOSZEK,3755
RACZKOWSKA,3753
RADZISZEWSKA,3752
FLAK,3745
RESZKA,3736
MAZIARZ,3735
MAJKOWSKA,3732
ADAMCZEWSKA,3729
PUCHAŁA,3727
POTOCKA,3725
KONARSKA,3724
PISAREK,3722
WAJDA,3719
PIECH,3714
BUGAJSKA,3713
WYRZYKOWSKA,3713
DZIKOWSKA,3710
KOKOT,3704
KUPIEC,3704
KAŹMIERSKA,3700
KAROLAK,3697
SZCZUREK,3697
SMOLEŃ,3694
ROKICKA,3688
KULPA,3686
PĘKALA,3677
WRZOSEK,3676
SUCHECKA,3675
BANASZAK,3673
CZARNOTA,3673
KALIŃSKA,3671
PLICHTA,3670
KĘPKA,3666
KAWALEC,3658
SOLECKA,3652
KOCHAŃSKA,3651
FIGURA,3646
JASKULSKA,3645
OLSZAK,3644
BIAŁECKA,3640
SZYMANOWSKA,3640
STOKŁOSA,3633
RODAK,3629
PIECHOCKA,3620
KOKOSZKA,3617
DOLATA,3614
GOLIŃSKA,3613
PIERZCHAŁA,3611
DZIURA,3608
BUGAJ,3605
BALICKA,3587
BRZESKA,3585
FERENC,3584
PASEK,3581
KRAUZE,3580
JAROSZEWSKA,3576
PARADOWSKA,3576
PŁATEK,3573
ZBOROWSKA,3572
SUŁKOWSKA,3570
WOJTASZEK,3564
BRODOWSKA,3558
MĄCZKA,3558
WASZKIEWICZ,3556
BARSZCZ,3550
OSOWSKA,3550
BOJARSKA,3549
DOLIŃSKA,3545
SZCZYGIELSKA,3537
STĘPNIEWSKA,3535
LASEK,3531
BIAŁA,3530
BIELA,3529
KOLASIŃSKA,3527
GÓRALCZYK,3520
GABRYŚ,3515
WEBER,3511
WIELGUS,3508
ŚWIERCZEK,3503
CHROBAK,3497
CICHOSZ,3494
KOSTKA,3493
KEMPA,3490
SZYMANIAK,3485
SMOLAREK,3482
PISZCZEK,3478
MORAWIEC,3476
ZARĘBSKA,3473
WALCZYK,3472
ŁAWNICZAK,3470
OSUCH,3470
WÓJCIAK,3470
SZADKOWSKA,3467
ZIMNA,3467
LACHOWICZ,3465
ORZEŁ,3465
MACH,3464
FIGIEL,3459
SZPAK,3452
GARBACZ,3450
PISKORZ,3448
ĆWIKLIŃSKA,3446
KOPROWSKA,3443
SUDOŁ,3440
TRACZYK,3438
BROŻEK,3433
GRUCA,3433
LOREK,3430
PASZEK,3430
CIOŁEK,3429
GOŁĄBEK,3427
ŁOŚ,3424
WDOWIAK,3423
KOŁODZIEJCZAK,3419
ANTONIAK,3418
ZAPAŁA,3416
BERNAT,3414
GRABSKA,3413
KOZERA,3412
SUROWIEC,3412
WĄSOWSKA,3408
BATOR,3406
GRELA,3405
STACHOWSKA,3405
BARON,3403
MROWIEC,3402
BŁAŻEJEWSKA,3400
MULARCZYK,3400
MYŚLIWIEC,3400
PIĘTA,3400
JAMRÓZ,3396
SALA,3393
GLIŃSKA,3392
OŻÓG,3392
BURDA,3384
DOBRZAŃSKA,3382
KOCHANOWSKA,3381
FILIPCZAK,3377
MODRZEJEWSKA,3377
ŚWITAŁA,3374
GALIŃSKA,3370
WACHOWIAK,3370
OLEŚ,3368
CZAPLIŃSKA,3366
ZAWISZA,3366
BUREK,3364
PÓŁTORAK,3362
MATUSIK,3360
NADOLSKA,3356
GAJ,3352
WINNICKA,3350
GAŁECKA,3349
JEDYNAK,3344
ZASADA,3343
BŁOŃSKA,3341
NIEZGODA,3341
FRANCZAK,3338
BARTOSIEWICZ,3335
KULIKOWSKA,3335
PLEWA,3335
KOZYRA,3334
ZAWISTOWSKA,3333
GAZDA,3331
GRYGIEL,3317
CZUBA,3316
OKOŃ,3315
KAZIMIERCZAK,3313
MUSIOŁ,3310
ŁACH,3308
BARTNICKA,3304
TYMIŃSKA,3304
NALEPA,3292
SZUBERT,3282
JASKÓLSKA,3278
WALIGÓRA,3278
KRASKA,3273
SOBOCIŃSKA,3270
KAPICA,3261
BERNACKA,3259
IWANOWSKA,3258
MAJDA,3257
KOŚCIELNIAK,3256
SZCZEPANEK,3254
SZWEDA,3254
KOSTRZEWSKA,3251
WŁOCH,3251
FRANKIEWICZ,3247
BIEL,3245
MIECZKOWSKA,3244
WIELGOSZ,3239
PIETRZYKOWSKA,3238
KOZICKA,3237
KLIMAS,3236
TUSZYŃSKA,3234
KRÓLIK,3231
STENCEL,3228
MATCZAK,3227
BIEŃ,3225
KLIMASZEWSKA,3225
SARNOWSKA,3225
SKWAREK,3223
MARCZEWSKA,3219
PRZYBYSZEWSKA,3216
GAJEK,3215
SITKO,3214
DOMAGALSKA,3213
GOŁASZEWSKA,3213
PASTUSZKA,3209
SKORUPSKA,3209
BOROŃ,3206
ĆWIK,3206
DUSZA,3205
MIŚ,3204
RÓG,3203
JANECZEK,3191
MŁYNARSKA,3190
OZGA,3188
DRĄG,3187
PANASIUK,3187
DANIEL,3184
GALAS,3184
NADOLNA,3182
SŁOMIŃSKA,3178
JACKIEWICZ,3177
WISZNIEWSKA,3177
BŁASZKIEWICZ,3174
PODSIADŁO,3170
OGÓREK,3169
IWANICKA,3161
LEMAŃSKA,3159
SOBCZYŃSKA,3158
WCISŁO,3156
WILCZEWSKA,3156
BOGDAN,3153
SPYCHAŁA,3152
KRAUSE,3147
STRZAŁKOWSKA,3143
ANTKOWIAK,3140
GAŁUSZKA,3139
NYCZ,3136
RYBIŃSKA,3136
SEWERYN,3131
RYCHLIK,3125
TURSKA,3124
NEUMANN,3123
ZAWIŚLAK,3122
PIEŃKOWSKA,3116
KŁOSIŃSKA,3114
RADWAŃSKA,3114
MACHNIK,3112
GÓRALSKA,3111
MIKUŁA,3111
MAKAREWICZ,3108
NOSAL,3107
KORNACKA,3105
RYBA,3105
WYDRA,3104
LUDWICZAK,3102
SŁOMKA,3100
RUMIŃSKA,3099
KASPERSKA,3098
RADZIKOWSKA,3098
KOŁACZ,3093
ZALESKA,3093
BARTKOWSKA,3089
BOJANOWSKA,3089
SZAFRAN,3088
ŁUGOWSKA,3084
WALAS,3080
KLUSKA,3078
TABOR,3077
ZIOMEK,3075
RYBACKA,3073
DUDKIEWICZ,3066
LEWCZUK,3064
FURTAK,3061
ROKITA,3061
MISZCZAK,3057
BUDA,3054
MARCINKIEWICZ,3049
CZUBAK,3048
PILARCZYK,3048
BRYŁA,3046
MIREK,3043
GUZ,3042
DĘBICKA,3039
ŚLIWKA,3039
BACZYŃSKA,3038
GROBELNA,3038
CZERWONKA,3036
CHOJECKA,3035
CIEŚLIŃSKA,3032
STOPA,3032
SOBOŃ,3030
GIZA,3025
KALITA,3024
JOŃCZYK,3022
ŚWIERCZ,3017
NAPIÓRKOWSKA,3014
DREWNIAK,3013
SZOSTEK,3001
WACHOWSKA,2993
DWORAK,2991
KOBYLIŃSKA,2987
WILIŃSKA,2987
WNĘK,2982
KALBARCZYK,2977
MIZERA,2977
ZATORSKA,2976
IWANIUK,2975
KĄKOL,2974
CYRAN,2973
WĘGLARZ,2973
KREFT,2968
MACHOWSKA,2963
PATER,2962
OSIECKA,2961
BOROWIAK,2960
RĄCZKA,2956
CZAPSKA,2953
PIWOWAR,2951
TOPOLSKA,2947
MASTALERZ,2945
SMYK,2945
OSTASZEWSKA,2942
CHYLIŃSKA,2939
KULAS,2939
KOZIŃSKA,2938
ŁUCZYŃSKA,2937
MARKOWICZ,2936
KLONOWSKA,2933
KARASIŃSKA,2932
PISARSKA,2930
CZAPIEWSKA,2926
GĄSKA,2919
KRASUSKA,2919
TARKA,2919
SZMIDT,2918
KOMAR,2915
ZIEMBA,2915
FRYDRYCH,2914
PLUCIŃSKA,2911
WASZAK,2910
MIKOŁAJEWSKA,2909
GREGORCZYK,2907
TRZASKA,2905
DAWID,2902
GWIAZDA,2902
MILER,2897
RYDZEWSKA,2895
MOTYL,2894
KLEIN,2893
MALCZEWSKA,2892
BADURA,2889
CABAN,2887
JAKUBCZAK,2887
PYKA,2886
DYLEWSKA,2885
MATUSZCZAK,2885
KUNICKA,2884
KONIECZNY,2883
MOSKWA,2883
SZEWCZUK,2882
OLENDER,2880
PIEKARZ,2880
SAKOWSKA,2880
WIDERA,2880
IWAN,2879
KONDRACKA,2879
DUL,2877
WIERZCHOWSKA,2873
TRUSZKOWSKA,2871
KIELAR,2869
BOGACKA,2868
FABISIAK,2868
SITARZ,2865
POPIOŁEK,2861
SZAFRANIEC,2858
SUCHOCKA,2852
SIUDA,2848
CZAPLICKA,2845
GRZEGORZEWSKA,2842
ZAŁĘSKA,2839
KULIGOWSKA,2836
SOSIŃSKA,2831
MACIASZEK,2828
SZLACHTA,2827
CHRUŚCIEL,2825
