IMIĘ_PIERWSZE,LICZBA_WYSTĄPIEŃ
EDUARD,2742
PETER,2714
LEONID,2603
OKTAWIAN,2602
PAVEL,2588
LEO,2558
HERONIM,2548
MARK,2511
KORNELIUSZ,2484
JEREMIASZ,2475
MIRON,2462
ROCH,2445
KRYSPIN,2436
KASPER,2335
JACENTY,2330
TYTUS,2276
ELIGIUSZ,2251
JONASZ,2244
ZIEMOWIT,2222
CHRISTIAN,2217
DYMITR,2197
NATHAN,2189
BENJAMIN,2147
JONATAN,2112
ELIASZ,2105
HIPOLIT,2082
XAVIER,1991
WIT,1982
IURII,1977
JACOB,1966
PAUL,1961
NIKOLAS,1948
HUGO,1937
ROSTYSLAV,1937
MAX,1936
YURIY,1882
ALIAKSEI,1872
ZBYSŁAW,1871
APOLINARY,1856
ARON,1836
PATRYCJUSZ,1798
AUGUST,1766
VITALI,1753
YURY,1743
ULADZIMIR,1725
KSAWIER,1717
DANYLO,1713
MAKSIM,1658
MATTHEW,1644
MAKS,1643
MYKYTA,1638
ANDREAS,1628
BENON,1615
PHILIP,1613
HENNADII,1605
NAZARII,1605
YAUHENI,1601
GIORGI,1558
HILARY,1550
EUZEBIUSZ,1543
CHRISTOPHER,1542
KYRYLO,1538
ZENOBIUSZ,1514
JOHN,1509
IDZI,1493
ANTHONY,1477
MYKHAYLO,1451
MIKHAIL,1444
MARCO,1436
CYRYL,1424
VIKTAR,1416
ION,1413
IHAR,1396
KURT,1390
HERMAN,1383
ALEH,1376
RAFAEL,1369
KASJAN,1360
SIMON,1348
JAROMIR,1345
ZBYSZEK,1342
MOHAMED,1302
HRYHORII,1298
ALI,1290
VLADIMIR,1282
BRIAN,1269
VITALIY,1268
REINHOLD,1267
KLAUS,1250
VINCENT,1240
SERHIY,1238
DONAT,1227
JONATHAN,1227
RICHARD,1221
NICHOLAS,1217
NIKITA,1216
OREST,1200
RADOMIR,1196
MIKALAI,1181
KOSMA,1180
ANTONIO,1179
YEHOR,1173
ENGELBERT,1171
WOLFGANG,1166
LUBOMIR,1152
BAZYL,1149
NARCYZ,1146
DANIIL,1143
WILLIAM,1134
ROGER,1124
ZBYSZKO,1121
MYROSLAV,1083
WALERY,1079
RAJNOLD,1068
DENNIS,1063
ULADZISLAU,1058
TELESFOR,1046
WITALIS,1046
ALEKSANDR,1044
DIETER,1044
LUKAS,1043
MARKUS,1028
VALERY,1024
LUCAS,1012
LEONARDO,1006
RUFIN,1005
ERIC,1001
DZIANIS,997
SVIATOSLAV,997
JORDAN,992
JAMES,980
JANUARY,968
LUDOMIR,966
FELICJAN,962
ANDREW,960
AARON,950
FRANK,950
SERGHEI,947
ANATOLI,946
MARIO,943
OTTO,933
BOGUSZ,930
LIUBOMYR,927
DYONIZY,915
PASCAL,908
DIEGO,897
DOMINIC,897
ERIK,890
AHMED,887
SERGIY,876
OSWALD,875
ARTHUR,874
KRYSTYN,873
BRAYAN,869
MIHAIL,864
ALEXANDR,862
HANS,862
JOSEPH,855
VADZIM,854
RAMAN,849
ANASTAZY,844
WASYL,832
CARLOS,822
FRANCESCO,793
MARKO,793
ALLAN,791
EDGAR,789
JUSTYN,788
EWARYST,787
JUAN,786
AURELIUSZ,785
LUCA,784
MATTEO,784
BRYAN,779
MAXIM,772
DAVYD,767
SERAFIN,767
ALESSANDRO,765
APOLONIUSZ,764
ALEXANDRU,763
IVO,761
NATHANIEL,755
HEINZ,743
GWIDON,740
JOSE,735
YAN,723
ALEXANDRE,719
MANUEL,718
AMIR,713
FEDIR,713
JUREK,705
ZACHARIASZ,704
MEHMET,703
ARTSIOM,702
LIAM,699
LUIS,698
AMBROŻY,697
JOSHUA,695
OMAR,689
ILYA,688
JAKOB,688
GNIEWOMIR,686
CELESTYN,685
ANATOLIY,681
RYAN,681
EUSTACHY,674
VASILE,670
ROBERTO,667
MAXYMILIAN,666
OTTON,664
NICOLAE,660
POLIKARP,659
IEVGEN,657
KARIM,654
COLIN,652
IAN,644
CHRYSTIAN,637
REINHARD,637
MEDARD,635
ARMIN,631
FELIX,629
DAMAZY,626
WIACZESŁAW,623
MUSTAFA,620
JUSTIN,619
HARALD,618
NOAH,618
JOSEF,616
MOHAMMAD,614
ARSEN,612
MATTHIAS,611
ANDREA,608
GEORG,605
MUHAMMAD,605
GEORGE,599
PHILIPP,598
