IMIĘ_PIERWSZE,LICZBA_WYSTĄPIEŃ
AMANDA,5538
SŁAWOMIRA,5449
FLORENTYNA,5432
LILIA,5394
IDA,5284
WIERA,5268
LUCJA,5249
EMMA,5100
LIUBOV,5042
LILLA,5027
ZYTA,4978
KUNEGUNDA,4897
OLEKSANDRA,4877
MAYA,4806
YANA,4620
ALLA,4590
KAMILLA,4471
OLIMPIA,4456
MARCELA,4404
EDWARDA,4305
KLEMENTYNA,4239
MIRELA,3908
SEWERYNA,3903
BALBINA,3863
FILOMENA,3844
LILA,3777
LILIIA,3775
LEONTYNA,3672
FAUSTYNA,3649
MARYLA,3628
KSENIA,3592
MARCJANNA,3511
SAMANTA,3404
ALONA,3392
EDELTRAUDA,3360
ALEXANDRA,3256
ERNA,3192
SOFIIA,3142
SOFIA,3124
PETRONELA,3112
BERTA,3071
GAJA,3068
AMALIA,3046
ANGELINA,3044
MARIANA,3037
VIKTORIA,2952
IVANNA,2948
OKTAWIA,2947
VERONIKA,2945
LUBA,2933
ZOJA,2849
RUTA,2836
VALERIIA,2797
PAMELA,2776
BOGNA,2724
KHRYSTYNA,2720
WANESSA,2689
KRZYSZTOFA,2666
DOMICELA,2664
GERDA,2533
MIRELLA,2492
JAGNA,2486
CLAUDIA,2436
LESIA,2418
NOEMI,2418
IRMGARDA,2356
VIRA,2319
HELGA,2314
LEONIA,2300
INEZ,2292
NEL,2279
EULALIA,2243
MARIYA,2190
SOPHIE,2183
JAROSŁAWA,2182
STELLA,2180
ALENA,2166
PRAKSEDA,2128
ANGELA,2099
OLA,2078
EMILY,2074
ZINAIDA,2073
MICHELLE,2013
RAISA,2002
NATALIYA,1984
BERNARDYNA,1975
OTOLIA,1957
YEVHENIIA,1957
EUFEMIA,1952
SARAH,1940
TOLA,1923
MARINA,1895
YELYZAVETA,1839
MIRIAM,1825
YULIYA,1824
IZA,1820
ERIKA,1819
IRINA,1808
INES,1799
ANTONIA,1787
OLESIA,1786
ROMA,1784
LEA,1778
RUSLANA,1774
AUGUSTYNA,1774
ARLETTA,1763
JAŚMINA,1724
EMA,1722
GALYNA,1695
MANUELA,1687
KLAUDYNA,1686
MARIETTA,1686
GRETA,1685
BENEDYKTA,1681
BLANDYNA,1666
NATALIE,1663
LUBOMIRA,1620
ANASTASIYA,1611
WINCENTYNA,1608
POLINA,1605
VITA,1600
KORNELA,1590
EVA,1587
DOBROSŁAWA,1571
TATSIANA,1566
GABRYELA,1537
WILHELMINA,1506
LIDIIA,1499
KARYNA,1478
WALESKA,1477
NATALLIA,1470
LIGIA,1466
HANKA,1441
MARHARYTA,1438
SCHOLASTYKA,1437
ANA,1418
VOLHA,1407
MYROSLAVA,1406
MILA,1391
KRISTINA,1389
ULIANA,1380
ANDREA,1364
MARTINA,1357
ERNESTYNA,1356
ZHANNA,1348
WIRGINIA,1347
BOGDANA,1326
JÓZEFINA,1320
SOPHIA,1315
KATSIARYNA,1300
TETYANA,1295
ANZHELA,1292
INGEBORGA,1291
BENIGNA,1290
IULIIA,1276
VERONICA,1264
LARA,1259
LINDA,1243
HERMINA,1243
KSAWERA,1237
NICOL,1233
IRMA,1225
LIVIA,1221
ALA,1220
WANESA,1220
GALINA,1219
DARYNA,1211
ANASTASIA,1211
CELESTYNA,1209
DŻESIKA,1198
SERAFINA,1183
MALINA,1176
JENNIFER,1172
NIKOL,1164
GANNA,1161
MAJKA,1155
ANHELINA,1155
MARITA,1145
PATRICIA,1139
KSENIIA,1133
GLORIA,1127
ISABELLA,1121
ADAMINA,1113
IWONNA,1105
SIMONA,1105
EMANUELA,1093
MIRA,1087
ALISA,1087
JANA,1081
LUDWINA,1074
ADOLFINA,1074
LUDOMIRA,1072
DAJANA,1068
ANIKA,1055
INGRID,1016
SABRINA,1012
ELZA,1006
ALOJZA,1006
SYLWESTRA,989
EUFROZYNA,984
IDALIA,981
HANNAH,978
SVETLANA,976
BERENIKA,974
CARMEN,966
CAROLINE,947
NIKOLETTA,942
RAMONA,941
GABRIELLA,941
ELLA,936
DARYA,936
DARIIA,936
ŻAKLINA,932
LEONA,913
KIRA,910
SVIATLANA,907
NELLY,906
EMILA,900
MARYIA,895
BOHDANA,883
DALIA,878
LIUDMILA,878
SWIETŁANA,878
VALENTINA,876
EUDOKIA,875
INA,872
SYBILLA,869
ALICE,867
ELIZABETH,860
NAOMI,858
LILY,852
ZORIANA,852
HIERONIMA,850
MILANA,848
NADIYA,846
HERONIMA,839
MICHAELA,839
FRYDERYKA,838
MARIE,835
ADOLFA,831
ALICIA,831
SŁAWA,818
LYUDMYLA,817
ZENAIDA,810
NELIA,797
GRACJANA,796
WINCENTA,794
MARGARETA,793
BIANCA,789
MARGARITA,783
BERNARDETA,780
VIOLETA,774
SNIZHANA,771
INKA,770
CYRYLA,770
ŻANETTA,758
HANA,757
VIKTORYIA,757
LILLY,755
ELA,751
SZARLOTA,751
ROXANA,747
AUGUSTA,746
MARGOT,744
YAROSLAVA,741
KAYA,732
VLADYSLAVA,732
LESŁAWA,728
